city,lat,lng
Jerusalem,31.7683,35.2137
Gaza City,31.5224,34.4538
Ramallah,31.8980, 35.2041
Hebron,31.5326,35.0998
Nablus,32.2226,35.2628
Bethlehem,31.7054,35.2024
Jenin,32.4616,35.2956
Tulkarm,32.3136,35.0289
Jericho,31.8592,35.4398
Rafah,31.2930,34.2358
Khan Yunis,31.3373,34.3134
Beit Lahia,31.5381,34.5032
Beit Jala,31.7133,35.2064
Qalqilya,32.1973,34.9932
Gaza Beach,31.5221,34.4314
