City 1,City 2,Road Distance (km)
Hebron,Nablus,103.72805
Hebron,Bethlehem,26.673650000000002
Hebron,Jenin,177.9735
Hebron,Tulkarm,126.30924
Hebron,Jericho,74.31398
Hebron,Rafah,125.95626
Hebron,Khan Yunis,132.96957999999998
Hebron,Beit Lahia,163.15339
Hebron,Beit Jala,27.21662
Hebron,Qalqilya,115.08918
Hebron,Gaza Beach,160.79453
Nablus,Bethlehem,115.28430999999999
Nablus,Jenin,42.798269999999995
Nablus,Tulkarm,29.80943
Nablus,Jericho,66.71609
Nablus,Rafah,191.28411
Nablus,Khan Yunis,198.29744
Nablus,Beit Lahia,228.48125
Nablus,Beit Jala,84.37333
Nablus,Qalqilya,41.181940000000004
Nablus,Gaza Beach,226.12239000000002
Bethlehem,Jenin,152.55078
Bethlehem,Tulkarm,100.88652
Bethlehem,Jericho,47.36797
Bethlehem,Rafah,146.47019
Bethlehem,Khan Yunis,153.4835
Bethlehem,Beit Lahia,183.66733
Bethlehem,Beit Jala,2.5682600000000004
Bethlehem,Qalqilya,89.66645
Bethlehem,Gaza Beach,181.30847
Jenin,Tulkarm,42.54218
Jenin,Jericho,98.07781
Jenin,Rafah,228.81675
Jenin,Khan Yunis,235.83006
Jenin,Beit Lahia,266.01388000000003
Jenin,Beit Jala,152.50641000000002
Jenin,Qalqilya,72.2182
Jenin,Gaza Beach,263.65503
